Terrane,Unit,Age_Ma,age_min,age_max,Rating,S_LONG,S_LAT,P_LONG,P_LAT,A95,Reference,Age_min_Ma,Age_max_Ma,Pole_lon,Pole_lat,A95_deg,Age_err_minus_Ma,Age_err_plus_Ma,Age_range_flag,Ref_lat,Ref_lon,Paleolatitude_64N_28E_deg,Pred_dec_at_ref_deg,Pred_inc_at_ref_deg
Baltica,MEAN Vendian sediments,555.5,555,556,A,40.0,65.5,299.7,41.9,9.9,"Popov et al 2002, 2005; Iglesia Llanos 2005; Fedorova et al 2014",555,556,299.7,41.9,9.9,0.5,0.5,ok,64.0,28.0,37.58397653153573,290.14432729094244,56.990676098827876
Baltica,Chernokamenskay group sediments -C,557.0,544,570,B,58.4,58.5,308.1,19.7,6.0,"Fedorova, N.M., Levashova, N.M., Meert, J.G., Maslov, A.V., Krupenin, M.T.",544,570,308.1,19.7,6.0,13.0,13.0,ok,64.0,28.0,22.046282313783237,269.96164921781605,39.00513173055605
Baltica-Urals,Zigan HTC thin beds,566.0,561,571,B,56.7,54.4,142.1,-22.8,10.7,"Bazhenov, M.L., Levashova, N.M., Meert, J.G., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.",561,571,142.1,-22.8,10.7,5.0,5.0,ok,64.0,28.0,-30.88459153588188,78.68017669899653,-50.10608937483194
Baltica-Urals,Zigan formation clastic rocks -C,566.0,561,571,B,56.7,53.7,140.2,-20.8,4.1,"Levashova, N.M., Bazhenov, M.L., Meert, J.G., Kuznetsov, N.B., Golovanova, I.V., Danukalov, K.N., Fedorova, N.M.",561,571,140.2,-20.8,4.1,5.0,5.0,ok,64.0,28.0,-28.294742002085854,79.41150972849623,-47.11391226811408
Baltica,Volhyn lavas,570.5,561,580,B,26.04,51.23,4.4,19.8,28.3,"Elming,S.-Å., Kravchenko,S.N., Layer,P., Rusakov,O.M., Glevasskaya,A.M., Mikhailova,N.P., Bachtadse,V.",561,580,4.4,19.8,28.3,9.5,9.5,ok,64.0,28.0,43.032570643504286,211.01878832183917,61.82767193391889
Baltica,Basu formation (precise),571.0,568,575,B,56.9,53.9,190.8,-7.0,3.8,"Levashova, N.V., Bazhenov, M.L., Meert, J.G., Danukalov, K.N., Golovanova, I.V., Kuznetsov, N.B., Fedorova, N.M.",568,575,190.8,-7.0,3.8,3.0,4.0,ok,64.0,28.0,-31.680394519557694,20.17548619299581,-50.98599076316423
Baltica,Basu-Kukkarauk formation -C,571.0,568,575,B,57.0,54.0,192.4,-8.6,5.8,"Golovanova, I.V., Danukalov, K.N., Kozlov, V.I., Puchkov, V.N., Pavlov, V.E., Gallet, Y., Levashova, N.M., Sirota, G.S., Khairullin, R.R., Bazhenov, M.L.",568,575,192.4,-8.6,5.8,3.0,4.0,ok,64.0,28.0,-33.495867856086335,18.593319741411054,-52.92764067834125
Baltica,Egersund dykes,616.0,613,619,A,5.9,58.8,89.0,20.8,7.6,"Xue, Y., Domeier, M., Silkoset, P.,Gallo,L. C., Tonti‐Filippini, J. A. D., & Walderhaug, H. J.",613,619,89.0,20.8,7.6,3.0,3.0,ok,64.0,28.0,31.187695112956966,107.1092317579469,50.44334735037429
Baltica,Bakeevo formation,640.0,630,650,B,58.16,54.94,308.8,51.5,5.9,"Lubnina,N.V., Pisarevsky, S. A., Puchkov, V.N., Kozlov, V.I., Sergeeva, N.D.",630,650,308.8,51.5,5.9,10.0,10.0,ok,64.0,28.0,48.98506115356787,291.2854699569432,66.49711257416338
Baltica,Kurgashlya formation,680.0,640,720,B,57.53,53.32,334.2,59.8,5.3,"Lubnina,N.V., Pisarevsky, S. A., Puchkov, V.N., Kozlov, V.I., Sergeeva, N.D.",640,720,334.2,59.8,5.3,40.0,40.0,ok,64.0,28.0,65.09934023763316,285.4059580204532,76.93305174232316
Baltica,Hunnedalen Dykes,848.0,821,875,C+,7.0,58.900002,222.0,-41.0,15.6,"Walderhaug,H.J., Torsvik,T.H., Eide,E.A., Sundvoll,B., Bingen,B.",821,875,222.0,-41.0,15.6,27.0,27.0,ok,64.0,28.0,-65.59913239855362,333.77114396595897,-77.22044590236698
Baltica,MEAN Katav Formation,850.0,800,1000,B,57.5,54.5,164.6,43.7,6.9,5-locality mean of two studies: Pavlov+Gallet 2010; and Golovanova+23,800,1000,164.6,43.7,6.9,50.0,150.0,ok,64.0,28.0,22.997389383491438,32.65845903368475,40.325998739167126
Baltica,Southwestern Telemark lithotectonic unit,900.0,839,963,C+,7.4,58.5,209.4,-46.2,12.0,"Kulakov, Slagstad, Ganerod, Torsvik",839,963,209.4,-46.2,12.0,61.0,63.0,ok,64.0,28.0,-72.18303199724778,356.8317974186464,-80.87085651466933
Baltica,MEAN Rogaland igneous cx,902.5,870,935,B,6.1,58.5,213.1,-38.9,4.2,"Brown & McEnroe 2004; Walderhaug et al. 2007; Brown + McEnroe, 2015; Brown et al. 2024",870,935,213.1,-38.9,4.2,32.5,32.5,ok,64.0,28.0,-64.71818889880336,350.67755464726815,-76.71276515872688
Baltica,Bratton and Algon Igneous Rocks,916.0,905,927,B,11.7247,57.920399,249.0,5.0,3.872983346,"Stearn,J.E.F., Piper,J.D.A.",905,927,249.0,5.0,3.872983346,11.0,11.0,ok,64.0,28.0,-14.551427031995019,317.5286119552967,-27.43611982796572
Baltica,Blekinge-Dalarna dykes/ Group A,943.0,935,951,A,13.6,59.5,239.6,-2.5,5.8,"Gong, Z., Evans, D.A.D., Elming, S.-Å., Söderlund, U., Salminen M.J., (icluden results from Elming et al 2014)",935,951,239.6,-2.5,5.8,8.0,8.0,ok,64.0,28.0,-24.344493412907028,324.9300161754326,-42.142103543437955
Baltica,Dykes of central and southern Sweden,945.0,935,955,A,14.2,58.4,240.7,-0.9,6.7,"Elming, S-Ã…., Pisarevsky, S.A., Layer, P., Bylund, G.",935,955,240.7,-0.9,6.7,10.0,10.0,ok,64.0,28.0,-22.517536147856262,324.2143918220871,-39.6636336745539
Baltica,Blekinge-Dalarna dykes/ Group B,971.0,964,978,C+,13.6,61.2,230.4,-27.0,14.9,"Gong, Z., Evans, D.A.D., Elming, S.-Å., Söderlund, U., Salminen M.J.,",964,978,230.4,-27.0,14.9,7.0,7.0,ok,64.0,28.0,-50.278860625948425,327.90581507672437,-67.44103798651047
Baltica,Central Telemark lithotectonic unit,1000.0,948,1028,C+,8.1,59.4,229.8,-17.4,6.5,"Kulakov, Slagstad, Ganerod, Torsvik",948,1028,229.8,-17.4,6.5,52.0,28.0,ok,64.0,28.0,-41.08457234837073,331.95569666460506,-60.16691888020075
Baltica,Laanila-Ristijarvi Dykes,1043.5,992,1095,B,28.1,68.699997,212.199997,-2.1,13.8,"Mertanen,S., Pesonen,L.J., Huhma,H.",992,1095,212.199997,-2.1,13.8,51.5,51.5,ok,64.0,28.0,-28.02361368319727,355.2441592559127,-46.78884356527574
Baltica,Bamble lithotectonic unit,1090.0,1040,1105,C+,9.4,58.9,218.4,-6.6,6.1,"Kulakov, Slagstad, Ganerod, Torsvik",1040,1105,218.4,-6.6,6.1,50.0,15.0,ok,64.0,28.0,-32.114755287143055,347.7768925630321,-51.45873486439483
Baltica,Salla Dyke (width 60-100 m),1122.0,1119,1127,B,28.8,66.8,111.6,70.6,8.099382693,"Salminen, J., Pesonen, L.J., Mertanen, S., Vuollo, J.,",1119,1127,111.6,70.6,8.099382693,3.0,5.0,ok,64.0,28.0,59.76801782735545,40.96440249222845,73.75489609586994
Baltica,MEAN post-Jotnian intrusions,1258.0,1246,1270,A,17.41,62.56,160.5,-2.2,3.2,Elming & Mattsson 2001 (+ several previous studies listed); Salminen et al. 2023,1246,1270,160.5,-2.2,3.2,12.0,12.0,ok,64.0,28.0,-19.295708127810812,51.31394652119752,-35.00055046681657
Baltica,Bornholm Group I dykes,1326.0,1316,1336,A,14.7,55.2,166.0,5.0,6.6,"Luoto, Salminen, Obst",1316,1336,166.0,5.0,6.6,10.0,10.0,ok,64.0,28.0,-14.252673660474386,43.452566408377685,-26.932147210457558
Baltica,Mashak suite,1375.5,1366,1385,B,57.0,54.0,193.0,1.8,14.8,"Lubnina, N.V.",1366,1385,193.0,1.8,14.8,9.5,9.5,ok,64.0,28.0,-23.265554317566725,16.355065460256586,-40.692601412596545
Baltica,Lake Ladoga basalt/ sill/ dykes,1452.0,1440,1464,A,31.2,61.5,177.1,15.2,5.5,"Lubnina, N.V., Mertanen, S., SÃ¶derlund, U., Bogdanova, S., Vasilieva, T.I., Frank-Kamenetsky, D.",1440,1464,177.1,15.2,5.5,12.0,12.0,ok,64.0,28.0,-7.31577784188373,29.976394907717687,-14.4005029530309
Baltica,Western Dalarna intrusions,1465.0,1459,1478,A,14.5,60.8,177.8,26.1,4.2,Gong et al.,1459,1478,177.8,26.1,4.2,6.0,13.0,ok,64.0,28.0,3.1629686805731865,26.898732240588,6.306775692113487
Baltica,MEAN Bunkris/Glysjon/Oje (delete/ see comment),1469.0,1460,1478,B,13.5,61.5,179.8,28.3,13.2,"Checked in Kringler. LULEÅ WORKING GROUP MEAN (Mulder, 1971; Bylund 1985; Piper 1992a; Piper and Smith, 1980) (age: Söderlund et al. 2005)",1460,1478,179.8,28.3,13.2,9.0,9.0,ok,64.0,28.0,4.9304140024169385,24.684135418823764,9.788871973724383
Baltica,Mean 1500 (Ragunda-dykes group 1 + Strömsbro rapakivi + Strömsbro dykes +Rödö rapakivi),1499.0,1491,1519,A,17.0,62.0,190.1,12.7,10.2,"Salminen, J., Elming, S-Å, Mertanen, S., Almqvist, B., Wang, C., Moakhar, M.",1491,1519,190.1,12.7,10.2,8.0,20.0,ok,64.0,28.0,-12.084220428878893,17.856356086034854,-23.179967853551517
Baltica,Ragunda Formation,1506.0,1493,1519,B,16.1,63.299999,166.600006,51.599998,7.122499561,"Piper,J.D.A.",1493,1519,166.600006,51.599998,7.122499561,13.0,13.0,ok,64.0,28.0,30.008519994358437,28.317675066652612,49.116341412565234
