Terrane;Unit;Age_Ma;age_min;age_max;Rating;S_LONG;S_LAT;P_LONG;P_LAT;A95;Reference
Baltica-Urals;Zigan formation clastic rocks -C;566;561;571;B;56.7;53.7;138.4;-16.2;4.1;Levashova et al. (2013)
Baltica-Urals;Zigan HTC thin beds;566;561;571;B;56.7;54.4;138.3;-18.0;10.7;Bazhenov et al. (2016)
Baltica;MEAN Vendian sediments;556;555;556;A;40;65.5;293.0;31.3;9.9;"Popov et al. (2002, 2005); Iglesia Llanos (2005); Fedorova et al. (2014)"
Baltica;Winter Coast Sediments;556;552;558;B;40;65.5;312.2;25.3;2.9;Popov et al. (2002)
Baltica;Zolotitsa Redbeds;556;551;561;B;40.5;65.6;290.0;28.3;3.8;Iglesia Llanos (2005)
Baltica;Zolotitsa Redbeds;556;551;561;B;40.3;65.5;292.9;31.7;2.1;Popov et al. (2005)
Baltica;Chernokamenskay group sediments -C;557;544;570;B;58.4;58.5;306.7;17.3;6.0;Fedorova et al. (2014)
Baltica;Basu formation  (precise);571;568;575;B;56.9;53.9;186.1;1.7;3.8;Levashova et al. (2015)
Baltica;Basu-Kukkarauk formation -C;571;568;575;B;57;54.0;187.3;1.1;5.8;Golovanova et al. (2011)
Baltica;Kurgashlya formation;680;640;720;B;57.53;53.32;314.5;50.9;5.3;Lubnina et al. (2014)
Baltica;Bakeevo formation;640;630;650;B;58.16;54.94;299.1;42.3;5.3;Lubnina et al. (2014)
Baltica;Volhyn lavas;571;561;580;B;26;51.2;4.4;19.8;28.3;Elming et al. (2007)
Baltica;Egersund dykes;616;613;619;C;5.9;58.8;44.1;31.4;15.6;Walderhaug et al. (2007)
Baltica;Egersund dykes;616;613;619;B;5.9;58.8;89.0;20.8;7.6;Xue et al. (2026)
Baltica;Katav Formation;850;800;1000;B;57.4;54.8;169.9;35.7;11.4;Pavlov and Gallet (2010)
Baltica;Katav Formation;850;800;1000;B;58.4;54.9;171.0;36.9;2.7;Golovanova et al. (2023)
Baltica;MEAN Katav Formation;850;800;1000;B;57.5;54.5;171.7;35.8;5.9;"Pavlov and Gallet (2010); Golovanova et al. (2023)"
Baltica;Hunnedalen Dykes;848;821;875;C+;7;58.9;222.0;-41.0;15.6;Walderhaug et al. (1999)
Baltica;Southwestern Telemark lithotectonic unit;900;839;963;C+;7.4;58.5;209.4;-46.2;12.0;Kulakov et al. (2022)
Baltica;MEAN Rogaland igneous cx;903;870;935;B;6.1;58.5;213.1;-38.9;4.2;"Brown and McEnroe (2004; 2015); Walderhaug et al. (2007); Brown et al. (2024)"
Baltica;Bratton and Algon Igneous Rocks;916;905;927;B;11.7;57.9;249.0;5.0;3.9;Stearn and Piper (1984)
Baltica;Blekinge-Dalarna dykes, Group A;943;935;951;A;13.6;59.5;239.6;-2.5;5.8;"Gong et al. (2018); Elming et al. (2014)"
Baltica;Dykes of central and southern Sweden;945;935;955;A;14.2;58.4;240.7;-0.9;6.7;Elming et al. (2014)
Baltica;Blekinge-Dalarna dykes, Group B;971;964;978;C+;13.6;61.2;230.4;-27.0;14.9;Gong et al. (2018)
Baltica;Central Telemark lithotectonic unit;1000;948;1028;C+;8.1;59.4;229.8;-17.4;6.5;Kulakov et al. (2022)
Baltica;Laanila-Ristijarvi Dykes;1044;992;1095;B;28.1;68.7;212.2;-2.1;13.8;Mertanen et l. (1996)
Baltica;Bamble lithotectonic unit;1090;1040;1105;C+;9.4;58.9;218.4;-6.6;6.1;Kulakov et al. (2022)
Baltica;Salla Dyke (width 60-100 m);1122;1119;1127;B;28.8;66.8;111.6;70.6;8.1;Salminen et al. (2009)
Baltica;MEAN post-Jotnian intrusions;1258;1246;1270;A;17.4;62.6;160.5;-2.2;3.2;"Elming and Mattsson (2001 ); Salminen et al.( 2023); several previous studies listed"
Baltica;Bornholm Group I dykes;1326;1316;1336;A;14.7;55.2;166.0;5.0;6.6;Luoto et al. (2021)
Baltica;Mashak suite;1376;1366;1385;B;57;54.0;193.0;1.8;14.8;Lubnina (2009)
Baltica;Lake Ladoga basalt, sill, dykes;1452;1440;1464;A;31.2;61.5;177.1;15.2;5.5;Lubnina et al. (2010)
